year,value_NL,value_GR
2000,91.3,87.8
2001,92.1,91.4
2002,92.7,93.1
2003,94,97.2
2004,95.6,100.2
2005,98,97.3
2006,99.5,101.5
2007,100.3,104.1
2008,100.3,102.7
2009,97.9,100
2010,100,100
2011,100.7,96.7
2012,100.5,94.9
2013,100.8,94.9
2014,101.7,97.2
2015,102.8,94.3
